year,title,hours,minutes,seconds,total_seconds,time_stamp
2013,Ni no Kuni: Wrath of the White Witch,00,29,53,1793,00:29:53
2013,Dead Space 3,00,34,46,2086,00:34:46
2013,Aliens Colonial Marines,00,39,50,2390,00:39:50
2013,Crysis 3,00,44,40,2680,00:44:40
2013,Metal Gear Rising: Revengeance,00,49,42,2982,00:49:42
2013,Tomb Raider,00,54,30,3270,00:54:30
2013,SimCity,00,59,21,3561,00:59:21
2013,Walking Dead,01,04,29,3869,01:04:29
2013,Bioshock Infinite,01,09,05,4145,01:09:05
2013,Lego City Undercover,01,13,40,4420,01:13:40
2013,Luigi's Mansion 2 Dark Moon,01,18,24,4704,01:18:24
2013,Injustice: Gods Among Us,01,23,12,4992,01:23:12
2013,Star Trek,01,27,54,5274,01:27:54
2013,FarCry 3 Blooddragon,01,32,43,5563,01:32:43
2013,Systemshock 2,01,37,39,5859,01:37:39
2013,Metro Last Light,01,42,19,6139,01:42:19
2013,Buyer's Guide To Next Gen Consoles,01,47,00,6420,01:47:00
2013,Fuse (Overstrike),01,51,55,6715,01:51:55
2013,Remember Me,01,56,47,7007,01:56:47
2013,E3 2013,02,01,40,7300,02:01:40
2013,The Last of Us,02,07,34,7654,02:07:34
2013,Deadpool,02,12,23,7943,02:12:23
2013,Animal Crossing New Leaf,02,17,24,8244,02:17:24
2013,Ride To Hell Retribution 1%,02,22,22,8542,02:22:22
2013,Dark,02,27,41,8861,02:27:41
2013,Mario & Luigi Dreamteam (Bros.),02,32,53,9173,02:32:53
2013,Rise of the Triad,02,37,58,9478,02:37:58
2013,Brothers: A Tale of Two Sons [&] Papers Please,02,42,54,9774,02:42:54
2013,Pikmin 3,02,47,52,10072,02:47:52
2013,The Bureau,02,52,47,10367,02:52:47
2013,Saints Row 4,02,57,50,10670,02:57:50
2013,Killer Is Dead,03,02,41,10961,03:02:41
2013,Amesia The Dark Descent,03,07,40,11260,03:07:40
2013,Grand Theft Auto V (GTA 5),03,12,37,11557,03:12:37
2013,Lost Planet 2,03,17,22,11842,03:17:22
2013,Beyond: Two Souls,03,22,16,12136,03:22:16
2013,The Legend of Zelda: The Wind Waker,03,27,19,12439,03:27:19
2013,Batman: Arkham Origins,03,32,21,12741,03:32:21
2013,Assassin's Creed 4 Black Flag,03,37,31,13051,03:37:31
2013,Call of Duty: Ghosts,03,42,28,13348,03:42:28
2013,JAM (The Audiobook),03,47,19,13639,03:47:19
2013,Xbox vs Playstation,03,48,29,13709,03:48:29
2013,Ryse: Son of Rome,03,53,48,14028,03:53:48
2013,Deadrising 3,03,58,49,14329,03:58:49
2013,Super Mario 3D World,04,03,30,14610,04:03:30
2014,Yahtzee’s 2013 Best & Worst,00,00,00,0,00:00:00
2014,Knack,00,05,37,337,00:05:37
2014,Killzone: Shadow Fall,00,10,26,626,00:10:26
2014,The Survival Special - Starbound / 7 Days to Die / Rust,00,15,07,907,00:15:07
2014,Broken Age,00,19,50,1190,00:19:50
2014,Might & Magic X: Legacy,00,24,42,1482,00:24:42
2014,The Legend of Zelda: A Link Between Worlds (or a Nintendo reprimand),00,29,27,1767,00:29:27
2014,Dark Souls,00,34,21,2061,00:34:21
2014,Lightning Returns: Final Fantasy XIII,00,39,06,2346,00:39:06
2014,Strider (2014),00,43,57,2637,00:43:57
2014,Thief,00,48,36,2916,00:48:36
2014,Castlevania: Lords of Shadow 2,00,53,31,3211,00:53:31
2014,Dark Souls II,00,58,22,3502,00:58:22
2014,Titanfall,01,03,17,3797,01:03:17
2014,Infamous Second Son,01,08,12,4092,01:08:12
2014,Metal Gear Solid V: Ground Zeroes,01,12,58,4378,01:12:58
2014,The Elder Scrolls Online,01,17,39,4659,01:17:39
2014,South Park: The Stick of Truth,01,22,31,4951,01:22:31
2014,FTL: Faster Than Light,01,26,56,5216,01:26:56
2014,Daylight [&] Child of Light,01,31,14,5474,01:31:14
2014,The Amazing Spider-Man 2,01,35,55,5755,01:35:55
2014,Tesla Effect: A Tex Murphy Adventure,01,40,46,6046,01:40:46
2014,Wolfenstein: The New Order,01,45,39,6339,01:45:39
2014,Watch Dogs,01,50,12,6612,01:50:12
2014,E3 2014,01,55,08,6908,01:55:08
2014,Murdered: Soul Suspect,01,59,57,7197,01:59:57
2014,Tomodachi Life,02,04,37,7477,02:04:37
2014,Enemy Front / Valiant Hearts: The Great War,02,09,18,7758,02:09:18
2014,Shovel Knight,02,14,10,8050,02:14:10
2014,EarthBound,02,18,58,8338,02:18:58
2014,Transistor,02,23,38,8618,02:23:38
2014,E.T. the Worst Game Ever,02,28,17,8897,02:28:17
2014,Firefall,02,32,41,9161,02:32:41
2014,Sacred 3,02,37,08,9428,02:37:08
2014,Risen 3: Titan Lords,02,41,40,9700,02:41:40
2014,Daikatana (John Romero's B**ch),02,46,24,9984,02:46:24
2014,Lichdom: Battlemage,02,51,21,10281,02:51:21
2014,The Sims 4,02,55,59,10559,02:55:59
2014,Destiny,03,00,39,10839,03:00:39
2014,D4: Dark Dreams Don’t Die,03,05,37,11137,03:05:37
2014,Hyrule Warriors,03,10,27,11427,03:10:27
2014,Middle-earth: Shadow of Mordor,03,15,03,11703,03:15:03
2014,Alien: Isolation,03,19,47,11987,03:19:47
2014,The Evil Within,03,24,26,12266,03:24:26
2014,Bayonetta 2,03,29,05,12545,03:29:05
2014,Sunset Overdrive,03,33,42,12822,03:33:42
2014,Call of Duty: Advanced Warfare,03,38,38,13118,03:38:38
2014,Assassin’s Creed Unity,03,43,23,13403,03:43:23
2014,Far Cry 4,03,48,05,13685,03:48:05
2014,Dragon Age: Inquisition,03,53,19,13999,03:53:19
2014,Sonic Boom: Rise of Lyric,03,58,09,14289,03:58:09
2015,Yahtzee 2014 Hits,00,00,00,0,00:00:00
2015,The Talos Principle,00,04,53,293,00:04:53
2015,Elite Dangerous,00,09,36,576,00:09:36
2015,Five Nights at Freddy's,00,14,18,858,00:14:18
2015,This War of Mine,00,17,04,1024,00:17:04
2015,Lords of the Fallen,00,18,56,1136,00:18:56
2015,Saints Row IV,00,23,26,1406,00:23:26
2015,Dying Light,00,27,55,1675,00:27:55
2015,Grim Fandango Remastered,00,32,33,1953,00:32:33
2015,Evolve,00,37,01,2221,00:37:01
2015,The Order 1886,00,41,31,2491,00:41:31
2015,Zelda Majora's Mask,00,46,26,2786,00:46:26
2015,Resident Evil 2 Revelations,00,51,01,3061,00:51:01
2015,Hotline Miami 2,00,55,30,3330,00:55:30
2015,Ori & The Blind Forest,00,57,50,3470,00:57:50
2015,Battlefield Hardline,01,00,22,3622,01:00:22
2015,Bloodborne,01,05,16,3916,01:05:16
2015,Half-Life 2,01,10,13,4213,01:10:13
2015,Axiom Verge,01,15,00,4500,01:15:00
2015,Stealth Inc. 2,01,17,58,4678,01:17:58
2015,Mortal Kombat X,01,19,59,4799,01:19:59
2015,GTA V Online,01,25,03,5103,01:25:03
2015,Broken Age,01,29,48,5388,01:29:48
2015,Wolfenstein The Old Blood,01,34,46,5686,01:34:46
2015,Dex,01,40,00,6000,01:40:00
2015,Invisible Inc.,01,43,08,6188,01:43:08
2015,The Witcher 3: Wild Hunt,01,45,05,6305,01:45:05
2015,Splatoon,01,49,56,6596,01:49:56
2015,Hatred,01,55,06,6906,01:55:06
2015,E3,02,00,04,7204,02:00:04
2015,Alone in the Dark Illumination,02,05,22,7522,02:05:22
2015,Batman Arkham Knight,02,10,28,7828,02:10:28
2015,Yoshi's Wooly World,02,15,41,8141,02:15:41
2015,Cave Story,02,20,36,8436,02:20:36
2015,Godzilla,02,25,26,8726,02:25:26
2015,Rocket League,02,30,05,9005,02:30:05
2015,Tembo the Badass Elephant,02,32,29,9149,02:32:29
2015,King's Quest,02,34,42,9282,02:34:42
2015,Nom nom Galaxy,02,39,20,9560,02:39:20
2015,Freedom Planet,02,41,35,9695,02:41:35
2015,Everybody's Gone to the Rapture,02,44,08,9848,02:44:08
2015,Volume,02,48,55,10135,02:48:55
2015,Metal Gear: The Phantom Pain,02,53,28,10408,02:53:28
2015,Mad Max,02,58,09,10689,02:58:09
2015,Gears of War Remastered,03,02,56,10976,03:02:56
2015,Until Dawn,03,07,35,11255,03:07:35
2015,Super Mario Maker,03,12,22,11542,03:12:22
2015,Soma,03,17,17,11837,03:17:17
2015,Rock Band 4,03,21,56,12116,03:21:56
2015,Assassin's Creed Syndicate,03,26,32,12392,03:26:32
2015,Halo 5,03,31,25,12685,03:31:25
2015,Call of Duty Black Ops 3,03,36,20,12980,03:36:20
2015,Rise of the Tomb Raider,03,41,20,13280,03:41:20
2015,Fallout 4,03,46,22,13582,03:46:22
2015,Star Wars Battlefront,03,51,22,13882,03:51:22
2015,Just Cause 3,03,56,30,14190,03:56:30
2015,Fatal Frame: Maiden of Black Water,04,01,42,14502,04:01:42
2016,"Yahtzee Top 5 Best, Worst and Blandest games of 2015",00,00,05,5,00:00:05
2016,Devils Third,00,07,12,432,00:07:12
2016,Mario & Luigi Paper Jam,00,12,27,747,00:12:27
2016,Assassin's Creed Chronicles,00,17,35,1055,00:17:35
2016,Xenoblade Chronicles X,00,22,47,1367,00:22:47
2016,The Witness,00,28,06,1686,00:28:06
2016,Bombshell,00,30,47,1847,00:30:47
2016,Gravity Rush,00,33,34,2014,00:33:34
2016,X-COM 2,00,38,32,2312,00:38:32
2016,Firewatch Vs Layers of Fear,00,43,38,2618,00:43:38
2016,Far Cry Primal,00,48,51,2931,00:48:51
2016,Stardew Valley,00,53,55,3235,00:53:55
2016,Superhot,00,56,30,3390,00:56:30
2016,The Division,00,59,09,3549,00:59:09
2016,Salt and Sanctuary,01,04,03,3843,01:04:03
2016,République,01,08,53,4133,01:08:53
2016,Shadow Warrior,01,13,42,4422,01:13:42
2016,Quantum Break,01,18,22,4702,01:18:22
